Time (s),Current (µA)
0,0.21406425
0.5,0.137501875
1,0.104689625
1.5,0.0937521
2,0.08906735
2.5,0.072813725
3,0.0664073
3.5,0.061250325
4,0.056875925
4.5,0.053125625
5,0.051188275
5.5,0.04850065
6,0.0463289
6.5,0.04440695
7,0.04265685
7.5,0.041038125
8,0.0393951
8.5,0.037995125
9,0.036940375
9.5,0.0358263
10,0.035810725
10.5,0.0341107
11,0.03317235
11.5,0.032436425
12,0.031467675
12.5,0.0308661
13,0.03035675
13.5,0.029216075
14,0.0286848
14.5,0.028180125
15,0.02743635
15.5,0.026955075
16,0.02673165
16.5,0.02617855
17,0.02557695
17.5,0.025461325
18,0.02508475
18.5,0.02460195
19,0.0250957
19.5,0.024448825
20,0.02361755
20.5,0.0231644
21,0.02275505
21.5,0.0227988
22,0.022315975
22.5,0.02197065
23,0.0216925
23.5,0.021495625
24,0.0215425
24.5,0.02104875
25,0.020684675
25.5,0.020389375
26,0.01987375
26.5,0.01968625
27,0.0194675
27.5,0.0193206
28,0.019229625
28.5,0.01915655
29,0.018978425
29.5,0.018979975
30,0.019014375
30.5,0.018700275
31,0.0184112
31.5,0.0183409
32,0.017989325
32.5,0.017623675
33,0.0174909
33.5,0.017240875
34,0.01698775
34.5,0.016972125
35,0.01692835
35.5,0.016690875
36,0.0165096
36.5,0.016437775
37,0.0162018
37.5,0.015981525
38,0.015828375
38.5,0.0157112
39,0.015672125
39.5,0.015803375
40,0.015640875
40.5,0.01537015
41,0.015195525
41.5,0.015140825
42,0.014934575
42.5,0.014834575
43,0.01479555
43.5,0.014681475
44,0.01461115
44.5,0.014509575
45,0.014401775
45.5,0.0142768
46,0.014131475
46.5,0.0140283
47,0.0140424
47.5,0.014011175
48,0.0138721
48.5,0.013801775
49,0.013711125
49.5,0.013520525
50,0.013458025
50.5,0.013503325
51,0.013283025
51.5,0.013200225
52,0.013253325
52.5,0.01325175
53,0.013118975
53.5,0.01303615
54,0.0129533
54.5,0.012722075
55,0.012859575
55.5,0.012800175
56,0.01265645
56.5,0.01273925
57,0.012653325
57.5,0.01236738
58,0.012386133
58.5,0.012399428
59,0.012293915
59.5,0.012199705
60,0.01216112
60.5,0.01212048
61,0.012103303
61.5,0.01198923
62,0.012040803
62.5,0.011829855
63,0.01177829
63.5,0.011751733
64,0.01176578
64.5,0.011647048
65,0.011561123
65.5,0.011500173
66,0.01152361
66.5,0.011457985
67,0.011373598
67.5,0.011294325
68,0.011276728
68.5,0.011212688
69,0.011050155
69.5,0.011022045
70,0.011036105
70.5,0.01102673
71,0.010936095
71.5,0.010831418
72,0.010761123
72.5,0.01079237
73,0.010774368
73.5,0.010741173
74,0.010670465
74.5,0.010675165
75,0.010537665
75.5,0.01037516
76,0.01041461
76.5,0.010529855
77,0.0104814
77.5,0.010460323
78,0.010347048
78.5,0.01013453
79,0.01019705
79.5,0.010279845
80,0.010284535
80.5,0.010140778
81,0.01006891
81.5,0.010092343
82,0.010031005
82.5,0.009917335
83,0.00997827
83.5,0.00997827
84,0.009956398
84.5,0.009907948
85,0.009807948
85.5,0.0097978
86,0.009853273
86.5,0.009751323
87,0.009726703
87.5,0.009686085
88,0.009562645
88.5,0.009640775
89,0.00956108
89.5,0.00952359
90,0.009578278
90.5,0.009487248
91,0.009442713
91.5,0.009407575
92,0.0093439
92.5,0.009321625
93,0.009445458
93.5,0.009409513
94,0.009490763
94.5,0.009520465
95,0.009261075
95.5,0.009199363
96,0.009232943
96.5,0.009091145
97,0.008887628
97.5,0.008872773
98,0.008951698
98.5,0.00895326
99,0.00888397
99.5,0.008916933
100,0.008845218
100.5,0.008918178
101,0.008949753
